headEntity	tailEntity	relation
0	27411	0
0	11930	1
0	9007	2
0	12633	3
0	22010	4
0	29283	4
0	4754	5
0	17472	6
0	29935	6
0	8728	6
0	27641	7
0	20674	7
0	28291	8
0	28015	9
0	14134	10
0	24305	12
0	9392	12
0	19522	12
0	19214	13
0	25298	13
0	15107	14
0	13690	15
0	10565	15
0	9485	17
0	12201	18
0	14949	19
0	11157	20
0	13983	20
0	16192	20
0	20867	21
0	13500	22
0	8432	23
0	8729	24
0	22328	25
0	15363	25
0	16622	25
0	11881	25
0	22289	25
0	29542	25
0	24205	25
0	24540	25
0	3833	25
0	23306	26
0	8722	27
0	9116	28
0	18554	28
0	28898	29
0	24603	29
0	9159	29
0	7295	29
0	15895	29
0	28482	29
0	23694	29
0	16010	29
0	8671	29
0	20964	29
0	4047	29
0	21342	29
0	11136	29
0	28378	29
0	7043	29
0	23644	29
0	9035	29
0	26858	29
0	28992	29
0	6580	29
0	11170	29
0	28975	29
0	27982	29
0	7030	29
0	4486	29
0	29208	29
0	30471	29
0	26107	29
0	9666	29
0	25460	29
0	5525	29
0	15732	29
0	14349	29
0	22564	29
0	3692	29
0	25495	29
0	24954	29
0	27212	29
0	16330	29
0	23998	29
0	5937	29
0	6494	30
0	18992	31
0	17623	31
0	26623	31
0	15015	31
0	6337	31
0	16718	31
0	17214	32
0	21319	33
0	6276	34
0	19233	35
0	23415	36
0	27215	37
0	25497	37
0	22378	37
0	23752	38
0	20575	39
0	25493	41
0	20720	41
0	14100	41
0	4752	41
0	19607	42
0	16954	43
0	23981	44
0	9625	45
0	24790	45
0	21053	45
0	8513	45
0	12988	45
0	11209	46
0	19015	46
0	18777	46
0	25225	46
0	12010	46
0	12377	46
0	6406	47
0	25812	48
0	16620	49
0	5409	49
0	30151	49
0	16220	49
0	4221	49
0	16270	49
0	17982	49
0	26972	49
0	25801	50
0	21386	51
0	12133	52
0	20262	53
0	12371	54
0	24447	54
0	22393	54
0	18948	54
0	11157	54
0	5988	54
0	16192	54
0	13983	54
0	25805	54
0	7330	54
0	14156	55
0	15938	56
1	22013	1
1	20867	21
1	16578	22
1	22010	4
1	27276	4
1	3781	20
1	6797	20
1	4481	25
1	4612	25
1	29787	25
1	26293	25
1	29317	39
1	15977	36
1	6772	40
1	25493	41
1	14100	41
1	4752	41
1	8740	45
1	16742	45
1	12196	45
1	10402	45
1	20895	45
1	21649	48
1	13798	28
1	13958	28
1	17504	18
1	23141	42
1	26982	46
1	18284	46
1	28336	46
1	12646	46
1	29539	46
1	6375	46
1	23389	46
1	16242	46
1	24411	46
1	23385	46
1	21850	46
1	15219	46
1	8719	46
1	15457	46
1	29294	46
1	9942	46
1	12901	46
1	14585	46
1	7356	46
1	8753	46
1	4025	13
1	19214	13
1	28898	29
1	24603	29
1	9159	29
1	7295	29
1	15895	29
1	23694	29
1	16010	29
1	21342	29
1	11136	29
1	28378	29
1	7043	29
1	23644	29
1	9035	29
1	26858	29
1	28992	29
1	6580	29
1	11170	29
1	9211	29
1	27982	29
1	7030	29
1	4486	29
1	29208	29
1	30471	29
1	26107	29
1	9666	29
1	25460	29
1	15732	29
1	14349	29
1	22564	29
1	3692	29
1	25495	29
1	24954	29
1	27212	29
1	5937	29
1	13122	10
1	30011	57
1	11372	24
1	5025	23
1	14724	35
1	23080	43
1	20517	32
1	10337	26
1	25243	5
1	16100	19
1	6824	59
1	23981	44
1	30183	8
1	30175	49
1	16220	49
1	17982	49
1	16270	49
1	30151	49
1	27138	49
1	17472	6
1	27641	7
1	21693	7
1	5608	33
1	15560	12
1	20605	12
1	20510	9
1	15367	17
1	17604	52
1	3721	52
1	4129	52
1	19426	53
1	15107	14
1	17116	60
1	13209	27
1	8722	27
1	9893	3
1	6494	30
1	8970	51
1	3781	54
1	19845	54
1	8280	54
1	6797	54
1	19378	54
1	5112	54
1	10283	55
1	13439	56
2	10098	53
2	20623	1
2	28791	16
2	11117	16
2	28898	16
2	25493	41
2	14100	41
2	19255	41
2	12897	41
2	30667	41
